Dr. B R Ambedkar National Institute of Technology, Jalandhar!Bio Technology (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2675!2875
Dr. B R Ambedkar National Institute of Technology, Jalandhar!Chemical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2359!2493
Dr. B R Ambedkar National Institute of Technology, Jalandhar!Civil Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1297!1307
Dr. B R Ambedkar National Institute of Technology, Jalandhar!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!462!812
Dr. B R Ambedkar National Institute of Technology, Jalandhar!Data Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1140!1140
Dr. B R Ambedkar National Institute of Technology, Jalandhar!Electrical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1336!1355
Dr. B R Ambedkar National Institute of Technology, Jalandhar!Electronics and Communication Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1101!1167
Dr. B R Ambedkar National Institute of Technology, Jalandhar!Electronics and VLSI Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1884!1884
Dr. B R Ambedkar National Institute of Technology, Jalandhar!Industrial and Production Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2470!2929
Dr. B R Ambedkar National Institute of Technology, Jalandhar!Information Technology (4 Years, Bachelor of Technology)!OS!Gender-Neutral!978!1173
Dr. B R Ambedkar National Institute of Technology, Jalandhar!Instrumentation and Control Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2605!2869
Dr. B R Ambedkar National Institute of Technology, Jalandhar!Mathematics and Computing (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1088!1088
Dr. B R Ambedkar National Institute of Technology, Jalandhar!Mechanical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2143!2293
Dr. B R Ambedkar National Institute of Technology, Jalandhar!Textile Technology (4 Years, Bachelor of Technology)!OS!Gender-Neutral!3388!3462
Malaviya National Institute of Technology Jaipur!Architecture (5 Years, Bachelor of Architecture)!OS!Gender-Neutral!78!192
Malaviya National Institute of Technology Jaipur!Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!521!521
Malaviya National Institute of Technology Jaipur!Chemical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2007!2399
Malaviya National Institute of Technology Jaipur!Civil Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!862!1480
Malaviya National Institute of Technology Jaipur!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!253!433
Malaviya National Institute of Technology Jaipur!Electrical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1006!1125
Malaviya National Institute of Technology Jaipur!Electronics and Communication Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!685!925
Malaviya National Institute of Technology Jaipur!Mechanical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1205!1756
Malaviya National Institute of Technology Jaipur!Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2571!2607
Maulana Azad National Institute of Technology Bhopal!Architecture (5 Years, Bachelor of Architecture)!OS!Gender-Neutral!163!211
Maulana Azad National Institute of Technology Bhopal!Chemical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2441!2455
Maulana Azad National Institute of Technology Bhopal!Civil Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1344!1693
Maulana Azad National Institute of Technology Bhopal!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!635!738
Maulana Azad National Institute of Technology Bhopal!Electrical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1153!1561
Maulana Azad National Institute of Technology Bhopal!Electronics and Communication Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!898!1293
Maulana Azad National Institute of Technology Bhopal!Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2880!2966
Maulana Azad National Institute of Technology Bhopal!Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))!OS!Gender-Neutral!1120!1120
Maulana Azad National Institute of Technology Bhopal!Mechanical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1728!2147
Maulana Azad National Institute of Technology Bhopal!Planning (4 Years, Bachelor of Planning)!OS!Gender-Neutral!52!54
Motilal Nehru National Institute of Technology Allahabad!Bio Technology (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2616!2672
Motilal Nehru National Institute of Technology Allahabad!Chemical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1799!1839
Motilal Nehru National Institute of Technology Allahabad!Civil Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!460!1232
Motilal Nehru National Institute of Technology Allahabad!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!256!428
Motilal Nehru National Institute of Technology Allahabad!Electrical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!604!870
Motilal Nehru National Institute of Technology Allahabad!Electronics and Communication Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!513!823
Motilal Nehru National Institute of Technology Allahabad!Engineering and Computational Mechanics (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1374!1374
Motilal Nehru National Institute of Technology Allahabad!Materials Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2091!2091
Motilal Nehru National Institute of Technology Allahabad!Mechanical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1531!1643
Motilal Nehru National Institute of Technology Allahabad!Production and Industrial Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2824!2824
