Movie Title,Image,Release Date,Duration Length,film Rating,Rating,Country of Origin,Genres,Language,Directors,Summary or Plot
1. The Shawshank Redemption,"https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","October 14, 1994 (United States)",2h 22m,R,9.3 (3M),United States,Drama,English,Frank Darabont,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion."
2. The Godfather,"https://m.media-amazon.com/images/M/MV5BMGQ1NmJkNjYtOTYyZi00N2M1LTk4MDMtNGEyOGUxNzQxZGQ3XkEyXkFqcGc@._V1_QL75_UX140_CR0,2,140,207_.jpg","March 24, 1972 (United States)",2h 55m,R,9.2 (2.1M),United States,"Crime, Drama","English, Italian, Latin",Francis Ford Coppola,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
3. The Dark Knight,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX140_CR0,0,140,207_.jpg","July 18, 2008 (United States)",2h 32m,PG-13,9.0 (3M),"United States, United Kingdom",,"English, Mandarin",Christopher Nolan,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
4. Schindler's List,"https://m.media-amazon.com/images/M/MV5BNjM1ZDQxYWUtMzQyZS00MTE1LWJmZGYtNGUyNTdlYjM3ZmVmXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","February 4, 1994 (United States)",3h 15m,R,9.0 (1.5M),United States,"Biography, Drama, History","English, Hebrew, German, Polish, Latin",Steven Spielberg,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
5. The Lord of the Rings: The Return of the King,"https://m.media-amazon.com/images/M/MV5BMTZkMjBjNWMtZGI5OC00MGU0LTk4ZTItODg2NWM3NTVmNWQ4XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg","December 17, 2003 (United States)",3h 21m,PG-13,9.0 (2M),"New Zealand, United States","Adventure, Drama, Fantasy","English, Quenya, Old English, Sindarin",Peter Jackson,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
6. 12 Angry Men,"https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@._V1_QL75_UX140_CR0,4,140,207_.jpg","April 10, 1957 (United States)",1h 36m,Approved,9.0 (906K),United States,,,Sidney Lumet,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
7. The Godfather Part II,"https://m.media-amazon.com/images/M/MV5BNzcwZWUzOWItMjcyYi00OWUwLThmZjUtY2M0ZjhjMzJiNmM4XkEyXkFqcGc@._V1_QL75_UX140_CR0,2,140,207_.jpg","December 18, 1974 (United States)",3h 22m,R,9.0 (1.4M),United States,"Crime, Drama","English, Italian, Spanish, Latin, Sicilian",Francis Ford Coppola,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
8. The Lord of the Rings: The Fellowship of the Ring,"https://m.media-amazon.com/images/M/MV5BNzIxMDQ2YTctNDY4MC00ZTRhLTk4ODQtMTVlOWY4NTdiYmMwXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg","December 19, 2001 (United States)",2h 58m,PG-13,8.9 (2.1M),"New Zealand, United States, United Kingdom",,"English, Sindarin",Peter Jackson,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
9. Pulp Fiction,"https://m.media-amazon.com/images/M/MV5BYTViYTE3ZGQtNDBlMC00ZTAyLTkyODMtZGRiZDg0MjA2YThkXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg","October 14, 1994 (United States)",2h 34m,R,8.9 (2.3M),United States,"Crime, Drama","English, Spanish, French",Quentin Tarantino,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
10. Inception,"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_QL75_UX140_CR0,0,140,207_.jpg","July 16, 2010 (United States)",2h 28m,PG-13,8.8 (2.6M),"United States, United Kingdom","Action, Adventure, Sci-Fi, Thriller","English, Japanese, French",Christopher Nolan,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
11. Fight Club,"https://m.media-amazon.com/images/M/MV5BOTgyOGQ1NDItNGU3Ny00MjU3LTg2YWEtNmEyYjBiMjI1Y2M5XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","October 15, 1999 (United States)",2h 19m,R,8.8 (2.4M),"Germany, United States",,English,David Fincher,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
12. Forrest Gump,"https://m.media-amazon.com/images/M/MV5BNDYwNzVjMTItZmU5YS00YjQ5LTljYjgtMjY2NDVmYWMyNWFmXkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg","July 6, 1994 (United States)",2h 22m,PG-13,8.8 (2.3M),United States,"Drama, Romance",English,Robert Zemeckis,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
13. The Lord of the Rings: The Two Towers,"https://m.media-amazon.com/images/M/MV5BMGQxMDdiOWUtYjc1Ni00YzM1LWE2NjMtZTg3Y2JkMjEzMTJjXkEyXkFqcGc@._V1_QL75_UX140_CR0,5,140,207_.jpg","December 18, 2002 (United States)",2h 59m,PG-13,8.8 (1.8M),"New Zealand, United States",,"English, Sindarin, Old English",Peter Jackson,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
"14. The Good, the Bad and the Ugly","https://m.media-amazon.com/images/M/MV5BMWM5ZjQxM2YtNDlmYi00ZDNhLWI4MWUtN2VkYjBlMTY1ZTkwXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","December 29, 1967 (United States)",2h 58m,R,8.8 (840K),"Italy, Spain, West Germany, United States",,,Sergio Leone,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
15. 12th Fail,"https://m.media-amazon.com/images/M/MV5BNTE3OTIxZDYtNjA0NC00N2YxLTg1NGQtOTYxNmZkMDkwOWNjXkEyXkFqcGc@._V1_QL75_UY207_CR9,0,140,207_.jpg","October 27, 2023 (India)",2h 27m,,8.8 (140K),India,,Hindi,Vidhu Vinod Chopra,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.
16. Interstellar,"https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg","November 7, 2014 (United States)",2h 49m,PG-13,8.7 (2.3M),"United States, United Kingdom, Canada","Adventure, Drama, Sci-Fi",English,Christopher Nolan,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
